 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH01_0120_S01	geneSets_priority1	PID_CMYB_PATHWAY (pc_up (6/84))	druggable: CDK6 (pc), KIT (pc)	overlap_genes_in_pc_up CA1,CD34,CDK6,CEBPA,KIT,MPO and pd_up NA						
TH01_0120_S01	geneSets_broadCancer	REACTOME_CELL_CYCLE (comm_up (27/421) and pc_up (32/421) and pd_up (29/421))	druggable: CDK6 (pc)	overlap_genes_in_pc_up CDK6,CNTRL,HIST1H2AB,HIST1H2AD,HIST1H2AE,HIST1H2AJ,HIST1H2BB,HIST1H2BC,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H4A,HIST1H4B,HIST1H4C,HIST1H4D,HIST1H4E,HIST1H4F,HIST1H4H,HIST1H4I,HIST1H4J,HIST1H4L,HIST2H2AC,HIST2H2BE,HIST2H4A and pd_up HIST1H2AB,HIST1H2AD,HIST1H2AJ,HIST1H2BB,HIST1H2BC,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H4A,HIST1H4B,HIST1H4C,HIST1H4D,HIST1H4E,HIST1H4F,HIST1H4H,HIST1H4I,HIST1H4J,HIST1H4K,HIST1H4L,HIST2H2AC,HIST2H4A						
TH01_0121_S01	new sample									
TH01_0121_S01	Disease	acute lymphoblastic leukemia								
TH01_0121_S01	druggableUpOutlier	BCL6	pc		BCL2/MDM2		BCL6	None		
TH01_0121_S01	druggableUpOutlier	IL6R	pc		JAK/STAT	JAK/STAT	IL6R	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (13/155))		
TH01_0121_S01	druggableUpOutlier	JAK3	pc		JAK/STAT	JAK/STAT	JAK3	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (13/155))		
TH01_0121_S01	druggableUpOutlier	MS4A1	pc		B-cell receptor signaling	B-cell receptor signaling	MS4A1	KEGG_HEMATOPOIETIC_CELL_LINEAGE (comm_up (7/88) and pc_up (15/88) and pd_up (8/88))		
TH01_0121_S01	druggableUpOutlier	PIK3CD	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3CD	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM (pc_up (9/76))		
TH01_0121_S01	druggableUpOutlier	PIK3CG	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3CG	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM (pc_up (9/76))		
TH01_0121_S01	druggableUpOutlier	PIK3R5	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3R5	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM (pc_up (9/76))		
TH01_0121_S01	druggableUpOutlier	STAT5B	pc		JAK/STAT	JAK/STAT	STAT5B	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (13/155))		
TH01_0121_S01	geneSets_priority1	BIOCARTA_TCR_PATHWAY (comm_up (3/49) and pc_up (8/49) and pd_up (3/49))	druggable: PIK3CG (pc)	overlap_genes_in_pc_up CD247,CD3G,LAT,LCK,PIK3CG,PRKCB,VAV1,ZAP70 and pd_up CD247,CD3G,LCK						
TH01_0121_S01	geneSets_priority1	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (comm_up (8/267) and pc_up (16/267) and pd_up (9/267))	druggable: IL6R (pc)	overlap_genes_in_pc_up CCR7,CSF2RB,CSF3R,CXCR1,CXCR2,FLT3LG,IL10RA,IL17RA,IL18RAP,IL1R2,IL6R,IL7R,LTB,OSM,RELT,TNFRSF10C and pd_up CCR7,CXCR1,CXCR2,FLT3LG,IL18RAP,IL1R2,IL4R,OSM,TNFRSF10C						
TH01_0121_S01	geneSets_priority1	PID_CXCR4_PATHWAY (pc_up (21/102) and pd_up (4/102))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up ADRBK1,ARRB2,CD247,CD3G,CSK,FGR,GRK6,HCK,ITGA4,LCK,PAG1,PIK3CD,PIK3CG,PIK3R5,PLCB2,PTEN,PTK2B,PTPN6,PTPRC,STAT5B,VAV1 and pd_up CD247,CD3G,LCK,MMP9						
TH01_0121_S01	geneSets_priority1	HALLMARK_TNFA_SIGNALING_VIA_NFKB (pc_up (11/200))	druggable: BCL6 (pc)	overlap_genes_in_pc_up BCL6,CEBPB,CFLAR,EHD1,IL7R,KDM6B,KLF2,MCL1,MXD1,NAMPT,SLC2A3 and pd_up CEBPB,NAMPT,PFKFB3,SOCS3						
TH01_0121_S01	geneSets_priority1	KEGG_CHEMOKINE_SIGNALING_PATHWAY (pc_up (24/190))	druggable: JAK3 (pc), PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up ADCY7,ADRBK1,ARRB2,CCR7,CSK,CXCR1,CXCR2,DOCK2,FGR,GRK6,HCK,ITK,JAK3,NCF1,PIK3CD,PIK3CG,PIK3R5,PLCB2,PRKCB,PTK2B,RAC2,RASGRP2,STAT5B,VAV1,WAS and pd_up CCR7,CXCR1,CXCR2,ITK						
TH01_0121_S01	geneSets_priority1	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS (pc_up (14/97))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up DOCK2,FCGR2A,HCK,LAT,NCF1,PIK3CD,PIK3CG,PIK3R5,PLCG2,PRKCB,PTPRC,RAC2,VASP,VAV1,WAS and pd_up VASP						
TH01_0121_S01	geneSets_priority1	PID_IL4_2PATHWAY (pc_up (11/65) and pd_up (4/65))	druggable: BCL6 (pc), JAK3 (pc), STAT5B (pc)	overlap_genes_in_pc_up ARG1,BCL6,CEBPB,ETS1,FES,IRF4,JAK3,MAPK14,PTPN6,SPI1,STAT5B and pd_up ARG1,CEBPB,IL4R,SOCS3						
TH01_0121_S01	geneSets_priority1	PID_PDGFRB_PATHWAY (pc_up (12/129))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up CSK,FGR,HCK,LCK,PAG1,PIK3CD,PIK3CG,PIK3R5,PTEN,PTPRJ,SLA,STAT5B and pd_up LCK						
TH01_0121_S01	geneSets_priority1	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM (pc_up (15/270))	druggable: IL6R (pc), JAK3 (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,HCK,IL1R2,IL6R,IL7R,IRF4,JAK3,LCK,MAP3K3,PIK3CD,PTK2B,PTPN6,STAT5B,TRIM25,VAV1 and pd_up IL1R2,LCK,SOCS3						
TH01_0121_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ILS (pc_up (13/107))	druggable: IL6R (pc), JAK3 (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,HCK,IL1R2,IL6R,IL7R,JAK3,LCK,MAP3K3,PIK3CD,PTK2B,PTPN6,STAT5B,VAV1 and pd_up IL1R2,LCK,SOCS3						
TH01_0121_S01	geneSets_priority1	BIOCARTA_IL2RB_PATHWAY (pc_up (6/38))	druggable: JAK3 (pc), PIK3CG (pc), STAT5B (pc)	overlap_genes_in_pc_up CFLAR,IKZF3,JAK3,PIK3CG,PTPN6,STAT5B and pd_up SOCS3						
TH01_0121_S01	geneSets_priority1	BIOCARTA_IL7_PATHWAY (pc_up (6/17))	druggable: JAK3 (pc), PIK3CG (pc), STAT5B (pc)	overlap_genes_in_pc_up IL7R,JAK3,LCK,PIK3CG,PTK2B,STAT5B and pd_up LCK						
TH01_0121_S01	geneSets_priority1	HALLMARK_IL6_JAK_STAT3_SIGNALING (pc_up (8/87))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up CSF2RB,CSF3R,IL17RA,IL1R2,ITGA4,LTB,PIK3R5,PIM1 and pd_up IL1R2,IL4R,SOCS3						
TH01_0121_S01	geneSets_priority1	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY (pc_up (9/79))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up LAT,MAPK14,PIK3CD,PIK3CG,PIK3R5,PLCG2,PRKCB,RAC2,VAV1 and pd_up NA						
TH01_0121_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (pc_up (11/201))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ITGA4,ITGB7,PARVG,PIK3CD,PIK3CG,PIK3R5,PRKCB,PTEN,RAC2,VASP,VAV1 and pd_up VASP						
TH01_0121_S01	geneSets_priority1	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (13/155))	druggable: IL6R (pc), JAK3 (pc), PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,CSF3R,IL10RA,IL6R,IL7R,JAK3,OSM,PIK3CD,PIK3CG,PIK3R5,PIM1,PTPN6,STAT5B and pd_up IL4R,OSM,SOCS3						
TH01_0121_S01	geneSets_priority1	PID_IL2_1PATHWAY (pc_up (7/55))	druggable: JAK3 (pc), STAT5B (pc)	overlap_genes_in_pc_up IKZF3,JAK3,LCK,MAPK14,PRKCB,PTK2B,STAT5B and pd_up LCK,SOCS3						
TH01_0121_S01	geneSets_priority1	PID_IL3_PATHWAY (pc_up (5/27))	druggable: STAT5B (pc)	overlap_genes_in_pc_up CEBPB,CSF2RB,OSM,PIM1,STAT5B and pd_up CEBPB,OSM						
TH01_0121_S01	geneSets_priority1	PID_IL8_CXCR1_PATHWAY (pc_up (8/28))	druggable: PIK3CG (pc)	overlap_genes_in_pc_up ADRBK1,ARRB2,CXCR1,FGR,HCK,PIK3CG,PLCB2,PRKCB and pd_up CXCR1						
TH01_0121_S01	geneSets_priority1	PID_IL8_CXCR2_PATHWAY (pc_up (10/34))	druggable: PIK3CG (pc)	overlap_genes_in_pc_up ARRB2,CXCR2,DOCK2,FGR,HCK,PIK3CG,PLCB2,PRKCB,RAC2,VASP and pd_up CXCR2,VASP						
TH01_0121_S01	geneSets_priority1	PID_PI3KCI_PATHWAY (pc_up (12/49))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up CYTH1,FGR,HCK,ITK,LAT,LCK,PIK3CD,PIK3CG,PIK3R5,PLCG2,PTEN,ZAP70 and pd_up ITK,LCK						
TH01_0121_S01	geneSets_priority1	PID_PTP1B_PATHWAY (pc_up (7/52))	druggable: STAT5B (pc)	overlap_genes_in_pc_up CSK,FCGR2A,FGR,HCK,LAT,LCK,STAT5B and pd_up LCK,SOCS3						
TH01_0121_S01	geneSets_priority1	PID_TXA2PATHWAY (pc_up (11/57))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ADRBK1,ARHGEF1,ARRB2,FGR,HCK,LCK,MAPK14,PIK3CG,PIK3R5,PLCB2,PRKCB and pd_up LCK						
TH01_0121_S01	geneSets_priority1	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE (pc_up (8/31))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up LAT,LCK,PIK3CG,PIK3R5,PLCG2,RAC2,RHOG,VAV1 and pd_up LCK						
TH01_0121_S01	geneSets_priority1	REACTOME_IL_2_SIGNALING (pc_up (7/41))	druggable: JAK3 (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,JAK3,LCK,PIK3CD,PTK2B,PTPN6,STAT5B and pd_up LCK						
TH01_0121_S01	geneSets_priority1	REACTOME_IL_3_5_AND_GM_CSF_SIGNALING (pc_up (7/43))	druggable: JAK3 (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,HCK,JAK3,PIK3CD,PTPN6,STAT5B,VAV1 and pd_up NA						
TH01_0121_S01	geneSets_priority1	REACTOME_SIGNALING_BY_GPCR (pc_up (28/920))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ADCY7,ADORA2A,ADRBK1,ARHGEF1,ARHGEF18,C5AR1,CAMK4,CCR7,CXCR1,CXCR2,DGKA,FFAR2,FGD2,FGD3,FPR1,FPR2,LTB4R,PIK3CG,PIK3R5,PLCB2,PRKCB,RAC2,RASGRP1,RASGRP2,RGS19,RHOG,S1PR4,VAV1 and pd_up ADM,ADORA2A,CAMK4,CCR7,CXCR1,CXCR2,FFAR2,FPR2						
TH01_0121_S01	geneSets_priority1	SIG_BCR_SIGNALING_PATHWAY (pc_up (7/46))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up CD22,CSK,MAP4K1,PIK3CD,PLCG2,PTPRC,VAV1 and pd_up NA						
TH01_0121_S01	geneSets_broadCancer	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (comm_up (7/108) and pc_up (17/108) and pd_up (7/108))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up CD247,CD3G,CD8A,CD8B,GRAP2,ITK,LAT,LCK,MAPK14,PIK3CD,PIK3CG,PIK3R5,PTPN6,PTPRC,RASGRP1,VAV1,ZAP70 and pd_up CD247,CD3G,CD8A,CD8B,GRAP2,ITK,LCK						
TH01_0121_S01	geneSets_broadCancer	REACTOME_ADAPTIVE_IMMUNE_SYSTEM (comm_up (8/539) and pc_up (36/539) and pd_up (9/539))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up AMICA1,CD247,CD3G,CD79B,CD8A,CD8B,CSK,FBXW7,FYB,GRAP2,ICAM3,ITGAL,ITGB2,ITGB7,ITK,LAT,LCK,LILRB2,LILRB3,NCF2,NCF4,PAG1,PIK3AP1,PIK3CD,PLCG2,PRKCB,PTEN,PTPN6,PTPRC,RASGRP1,RASGRP2,SELL,VASP,VAV1,WAS,ZAP70 and pd_up CD247,CD3G,CD8A,CD8B,GRAP2,ITK,LCK,SOCS3,VASP						
TH01_0121_S01	geneSets_broadCancer	REACTOME_HEMOSTASIS (comm_up (11/466) and pc_up (43/466) and pd_up (11/466))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up AMICA1,ARRB2,CSK,DGKA,DOCK2,DOCK8,EHD1,FGR,HBB,HBD,HBG2,HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3D,HIST1H3F,HIST1H3H,HIST1H3I,HIST1H3J,HIST2H3C,HIST2H3D,ITGAL,ITGAM,ITGAX,ITGB2,LAT,LCK,MAPK14,NFE2,P2RX1,PIK3CG,PIK3R5,PLCG2,PRKCB,PTPN6,RAC2,RASGRP1,RASGRP2,RHOG,SELL,SLC7A6,SPN,VAV1 and pd_up HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3D,HIST1H3F,HIST1H3H,HIST1H3I,HIST1H3J,HIST2H3C,HIST2H3D,LCK						
TH01_0121_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (comm_up (13/933) and pc_up (58/933) and pd_up (14/933))	druggable: IL6R (pc), JAK3 (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up AMICA1,CD247,CD3G,CD79B,CD8A,CD8B,CR1,CSF2RB,CSK,DEFA1,DEFA1B,DEFA3,DEFA4,FBXW7,FYB,GRAP2,HCK,ICAM3,IL1R2,IL6R,IL7R,IRF4,ITGAL,ITGB2,ITGB7,ITK,JAK3,LAT,LCK,LILRB2,LILRB3,MAP3K3,MAPK14,MEFV,NCF2,NCF4,NLRC5,PAG1,PIK3AP1,PIK3CD,PLCG2,PRKCB,PSTPIP1,PTEN,PTK2B,PTPN6,PTPRC,RASGRP1,RASGRP2,S100A12,SELL,STAT5B,TLR1,TLR4,TRIM25,VASP,VAV1,WAS,ZAP70 and pd_up CD247,CD3G,CD8A,CD8B,CR1,DEFA1,DEFA3,DEFA4,GRAP2,IL1R2,ITK,LCK,SOCS3,VASP						
TH01_0121_S01	geneSets_broadCancer	KEGG_HEMATOPOIETIC_CELL_LINEAGE (comm_up (7/88) and pc_up (15/88) and pd_up (8/88))	druggable: IL6R (pc), MS4A1 (pc)	overlap_genes_in_pc_up CD22,CD3G,CD5,CD7,CD8A,CD8B,CR1,CSF3R,FLT3LG,IL1R2,IL6R,IL7R,ITGA4,ITGAM,MS4A1 and pd_up CD3G,CD5,CD8A,CD8B,CR1,FLT3LG,IL1R2,IL4R						
TH01_0121_S01	geneSets_broadCancer	KEGG_PRIMARY_IMMUNODEFICIENCY (comm_up (3/35) and pc_up (7/35) and pd_up (3/35))	druggable: JAK3 (pc)	overlap_genes_in_pc_up CD8A,CD8B,IL7R,JAK3,LCK,PTPRC,ZAP70 and pd_up CD8A,CD8B,LCK						
TH01_0121_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pc_up (16/328))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF3R,ETS1,FLT3LG,LEF1,PIK3CD,PIK3CG,PIK3R5,PLCG2,PRKCB,PTEN,RAC2,RASSF5,SPI1,STAT5B,STK4,TCF7 and pd_up FLT3LG,MMP9,TCF7						
TH01_0121_S01	geneSets_broadCancer	KEGG_ACUTE_MYELOID_LEUKEMIA (pc_up (9/60))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up LEF1,PIK3CD,PIK3CG,PIK3R5,PIM1,PIM2,SPI1,STAT5B,TCF7 and pd_up PIM2,TCF7						
TH01_0121_S01	geneSets_broadCancer	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (12/75))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up CD22,CD79B,LILRB3,PIK3AP1,PIK3CD,PIK3CG,PIK3R5,PLCG2,PRKCB,PTPN6,RAC2,VAV1 and pd_up NA						
TH01_0121_S01	geneSets_broadCancer	KEGG_NON_SMALL_CELL_LUNG_CANCER (pc_up (7/54))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up PIK3CD,PIK3CG,PIK3R5,PLCG2,PRKCB,RASSF5,STK4 and pd_up NA						
TH01_0121_S01	geneSets_broadCancer	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM (pc_up (9/76))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up DGKA,INPP4A,PIK3CD,PIK3CG,PIK3R5,PLCB2,PLCG2,PRKCB,PTEN and pd_up NA						
TH01_0121_S01	geneSets_broadCancer	REACTOME_GPCR_DOWNSTREAM_SIGNALING (pc_up (27/805))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ADCY7,ADORA2A,ADRBK1,ARHGEF1,ARHGEF18,C5AR1,CCR7,CXCR1,CXCR2,DGKA,FFAR2,FGD2,FGD3,FPR1,FPR2,LTB4R,PIK3CG,PIK3R5,PLCB2,PRKCB,RAC2,RASGRP1,RASGRP2,RGS19,RHOG,S1PR4,VAV1 and pd_up ADM,ADORA2A,CCR7,CXCR1,CXCR2,FFAR2,FPR2						
TH01_0121_S01	geneSets_nonCancer	HALLMARK_COMPLEMENT (comm_up (5/200) and pc_up (19/200) and pd_up (7/200))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up CDA,CEBPB,CR1,DYRK2,EHD1,FCN1,GCA,ITGAM,LCK,MMP8,PIK3CG,PIK3R5,PIM1,RASGRP1,RHOG,S100A12,S100A9,USP15,WAS and pd_up CEBPB,CR1,DYRK2,LCK,LTF,MMP8,SPOCK2						
TH01_0121_S01	geneSets_nonCancer	HALLMARK_INFLAMMATORY_RESPONSE (comm_up (7/200) and pc_up (22/200) and pd_up (9/200))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up AQP9,C5AR1,CCR7,CSF3R,FFAR2,FPR1,IL10RA,IL18RAP,IL7R,KCNA3,LCK,MEFV,MXD1,NAMPT,OSM,PIK3R5,PROK2,RASGRP1,RHOG,SELL,SEMA4D,TLR1 and pd_up ADM,AQP9,CCR7,FFAR2,IL18RAP,IL4R,LCK,NAMPT,OSM						
TH01_0121_S01	geneSets_nonCancer	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY (comm_up (4/137) and pc_up (18/137) and pd_up (4/137))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up CD247,FCGR3B,ITGAL,ITGB2,LAT,LCK,PIK3CD,PIK3CG,PIK3R5,PLCG2,PRF1,PRKCB,PTK2B,PTPN6,RAC2,TNFRSF10C,VAV1,ZAP70 and pd_up CD247,FCGR3B,LCK,TNFRSF10C						
TH01_0121_S01	geneSets_nonCancer	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION (pc_up (19/118))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ITGA4,ITGAL,ITGAM,ITGB2,ITK,MAPK14,NCF1,NCF2,NCF4,PIK3CD,PIK3CG,PIK3R5,PLCG2,PRKCB,PTK2B,RAC2,RASSF5,RHOH,VASP,VAV1 and pd_up ITK,MMP9,VASP						
TH01_0121_S01	geneSets_nonCancer	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON (pc_up (16/216))	druggable: PIK3CD (pc), PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ARHGEF1,CSK,FGD3,ITGA4,ITGAL,ITGAM,ITGAX,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R5,RAC2,SSH2,VAV1,WAS and pd_up NA						
TH01_0121_S01	geneSets_nonCancer	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION (pc_up (15/208))	druggable: PIK3CG (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ARRB2,CSK,DGKA,LAT,LCK,MAPK14,PIK3CG,PIK3R5,PLCG2,PRKCB,RAC2,RASGRP1,RASGRP2,RHOG,VAV1 and pd_up LCK						
TH01_0122_S01	new sample									
TH01_0122_S01	Disease	acute lymphoblastic leukemia								
TH01_0122_S01	druggableUpOutlier	CDK6	pc		Cell Cycle	Cell Cycle	CDK6	None		
TH01_0122_S01	druggableUpOutlier	MS4A1	pc		B-cell receptor signaling	B-cell receptor signaling	MS4A1	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (6/88))		
TH01_0122_S01	druggableUpOutlier	PIK3CD	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3CD	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (6/75))		
TH01_0122_S01	druggableUpOutlier	PIK3CG	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3CG	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (6/75))		
TH01_0122_S01	geneSets_priority1	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS (pc_up (4/97))	druggable: PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up PIK3CD,PIK3CG,PRKCB,PRKCE and pd_up NA						
TH01_0122_S01	geneSets_priority1	PID_CMYB_PATHWAY (pc_up (7/84))	druggable: CDK6 (pc)	overlap_genes_in_pc_up CA1,CDK6,ELANE,MPO,PAX5,PRTN3,RAG2 and pd_up NA						
TH01_0122_S01	geneSets_priority1	PID_CXCR4_PATHWAY (pc_up (4/102))	druggable: PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up ITGA4,PAG1,PIK3CD,PIK3CG and pd_up NA						
TH01_0122_S01	geneSets_priority1	PID_PDGFRB_PATHWAY (pc_up (5/129))	druggable: PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up GAB1,PAG1,PIK3CD,PIK3CG,PRKCE and pd_up NA						
TH01_0122_S01	geneSets_priority1	KEGG_ERBB_SIGNALING_PATHWAY (pc_up (4/87))	druggable: PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up GAB1,PIK3CD,PIK3CG,PRKCB and pd_up NA						
TH01_0122_S01	geneSets_priority1	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY (pc_up (4/79))	druggable: PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up PIK3CD,PIK3CG,PRKCB,PRKCE and pd_up NA						
TH01_0122_S01	geneSets_priority1	PID_IL8_CXCR1_PATHWAY (pc_up (3/28))	druggable: PIK3CG (pc)	overlap_genes_in_pc_up PIK3CG,PRKCB,PRKCE and pd_up NA						
TH01_0122_S01	geneSets_priority1	SIG_BCR_SIGNALING_PATHWAY (pc_up (3/46))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up CD19,CD22,PIK3CD and pd_up NA						
TH01_0122_S01	geneSets_broadCancer	REACTOME_CELL_CYCLE (comm_up (26/421) and pc_up (30/421) and pd_up (26/421))	druggable: CDK6 (pc)	overlap_genes_in_pc_up CDK6,HIST1H2AB,HIST1H2AD,HIST1H2AE,HIST1H2AJ,HIST1H2BB,HIST1H2BC,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H4A,HIST1H4B,HIST1H4C,HIST1H4D,HIST1H4E,HIST1H4F,HIST1H4H,HIST1H4J,HIST1H4L,HIST2H2AC,HIST2H2BE,HIST2H4A,HIST4H4 and pd_up HIST1H2AB,HIST1H2AD,HIST1H2AJ,HIST1H2BB,HIST1H2BC,HIST1H2BE,HIST1H2BF,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H4A,HIST1H4B,HIST1H4C,HIST1H4D,HIST1H4E,HIST1H4F,HIST1H4H,HIST1H4J,HIST1H4L,HIST2H2AC,HIST2H4A,HIST4H4						
TH01_0122_S01	geneSets_broadCancer	REACTOME_HEMOSTASIS (comm_up (9/466) and pc_up (19/466) and pd_up (10/466))	druggable: PIK3CG (pc)	overlap_genes_in_pc_up HBB,HBD,HBG2,HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3D,HIST1H3F,HIST1H3H,HIST1H3I,HIST1H3J,HIST2H3C,HIST2H3D,P2RX1,PIK3CG,PRKCB,PRKCE,RASGRP2,SPN and pd_up HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3D,HIST1H3F,HIST1H3I,HIST1H3J,HIST2H3C,HIST2H3D,THBS1						
TH01_0122_S01	geneSets_broadCancer	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (6/75))	druggable: PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up CD19,CD22,CD79B,PIK3CD,PIK3CG,PRKCB and pd_up NA						
TH01_0122_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pc_up (12/933))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up CD19,CD79B,CIITA,DEFA1,DEFA1B,DEFA3,FBXW7,PAG1,PIK3CD,PRKCB,RASGRP2,S100A12,SOCS2 and pd_up DEFA1						
TH01_0122_S01	geneSets_broadCancer	KEGG_GLIOMA (pc_up (4/65))	druggable: CDK6 (pc), PIK3CD (pc), PIK3CG (pc)	overlap_genes_in_pc_up CDK6,PIK3CD,PIK3CG,PRKCB and pd_up NA						
